Var1,Var2,frequencyNyquistCompass
1,0,0
1,0,1e-20
1,0,1e-19
1,0,1e-18
1,0,1e-17
1,0,5.16074402935609e-17
1,0,1e-16
1,0,1e-15
1,3.5527136788005e-15,1e-14
1,3.86357612569554e-14,1e-13
1,3.87245790989255e-13,1e-12
1,2.00017780116468e-12,5.16074402935607e-12
1,3.87512244515165e-12,1e-11
1,3.87538889867756e-11,1e-10
1,3.87540666224595e-10,1e-09
1,3.87541021495963e-09,1e-08
1,1.99999998784506e-08,5.16074402935607e-08
0.999999999999999,3.87541021495963e-08,1e-07
0.99999999999985,3.87541018831389e-07,1e-06
0.999999999984981,3.87541019005183e-06,1e-05
0.9999999996,1.99999999921332e-05,5.16074402935607e-05
0.99999999849812,3.87541018430078e-05,0.0001
0.999999849811981,0.000387540960808569,0.001
0.999996000016,0.00199999200003226,0.00516074402935607
0.999984981421419,0.00387535198697372,0.01
0.999600159936026,0.0199920031987205,0.0516074402935607
0.99948329412451,0.0227252918689293,0.0586700223092185
0.999332293427069,0.0258313906103237,0.0666991328805294
0.999137202796231,0.0293607354259792,0.0758270433845653
0.998885174137874,0.0333703914484534,0.0862041268024218
0.998559632404323,0.0379248327203479,0.0980013349601422
0.998500371847976,0.0386959851590451,0.1
0.998139205898515,0.0430967695633525,0.111413014785044
0.997596357192776,0.0489680029047498,0.126660109972387
0.996895635994311,0.0556302699059524,0.143993800806572
0.99599145810119,0.0631860229058286,0.16369964209918
0.994825296119975,0.071749051002638,0.186102267412173
0.993322149814596,0.0814448064784096,0.211570737063483
0.991386150716296,0.0924102314910068,0.24052461801794
0.988895154036173,0.104792787728673,0.273440895823496
0.985694193143364,0.118748266289729,0.310861832459823
0.981587737717018,0.134436791395081,0.353403899549306
0.976330836809666,0.152016229081645,0.401767934095923
0.96961948708003,0.171631982318825,0.456750684057422
0.961081003912316,0.193401933369889,0.519257933952275
0.950265857919365,0.217395163681573,0.590319426732349
0.936643428928353,0.243603193685327,0.671105827743861
0.919605420890605,0.271903090749661,0.762948010240525
0.898482117583057,0.302013247998366,0.867358980157957
0.872577789269844,0.333445334264548,0.986058801337563
0.869423054310081,0.336937096420402,1
0.841231489106975,0.365460081051045,1.12100293181746
0.803906840560162,0.397039837120584,1.2744144380018
0.760307744083292,0.426895629364213,1.44882061740398
0.710505696541124,0.453527674705454,1.64709463328592
0.655050713395347,0.475351739531469,1.87250284708146
0.595027665950209,0.490886690290189,2.12875862835716
0.532021873957589,0.49897354598039,2.42008352877442
0.467978126042412,0.49897354598039,2.75127682783143
0.404972334049792,0.490886690290188,3.12779459607972
0.344949286604653,0.47535173953147,3.55583957830102
0.289494303458876,0.453527674705454,4.04246337737765
0.239692255916709,0.426895629364213,4.59568262223109
0.196093159439838,0.397039837120585,5.22461103357665
0.158768510893026,0.365460081051046,5.93960956314234
0.127422210730157,0.333445334264548,6.75245707974185
0.101517882416943,0.302013247998366,7.67654441407988
0.0803945791093954,0.271903090749661,8.72709495897957
0.0633565710716476,0.243603193685327,9.92141545919468
0.0624266325470975,0.241928807908292,10
0.049734142080635,0.217395163681574,11.2791811223121
0.0389189960876842,0.193401933369889,12.8227597476547
0.0303805129199698,0.171631982318825,14.5775802128772
0.023669163190334,0.152016229081645,16.5725513886927
0.0184122622829818,0.134436791395081,18.8405383829236
0.0143058068566358,0.118748266289729,21.4189039595079
0.0111048459638272,0.104792787728673,24.3501240517859
0.00861384928370387,0.092410231491007,27.6824875100184
0.00667785018540437,0.08144480647841,31.4708916107605
0.00517470388002508,0.0717490510026379,35.7777464332928
0.00400854189881042,0.0631860229058286,40.6740030017874
0.00310436400568893,0.0556302699059524,46.2403221307963
0.00240364280722433,0.04896800290475,52.5684032295974
0.00186079410148483,0.0430967695633525,59.7624949560867
0.00144036759567708,0.0379248327203483,67.9411126066963
0.00111482586212588,0.0333703914484534,77.2389905345753
0.000862797203769192,0.0293607354259793,87.8093017601278
0.000667706572930656,0.0258313906103237,99.8261813397167
0.000665388936184891,0.0257865506368823,100
0.000516705875489803,0.0227252918689296,113.487595062452
0.000399840063974411,0.0199920031987205,129.018600733902
6.65827540120699e-06,0.00258035483385053,1000
3.99998400006421e-06,0.001999992000032,1290.18600733902
6.65831929080242e-08,0.000258037184286863,10000
6.65831972971489e-10,2.58037201295994e-05,100000
3.99999999839447e-10,1.9999999992e-05,129018.600733902
6.65831973438737e-12,2.58037201466086e-06,1000000
6.65831973354682e-14,2.58037201467787e-07,10000000
6.658319724849e-16,2.58037201467804e-08,100000000
4.00000003234551e-16,2e-08,129018600.733902
6.65831963786792e-18,2.58037201467804e-09,1000000000
6.6583199139725e-20,2.58037201467804e-10,10000000000
6.65835705247936e-22,2.58037201467804e-11,100000000000
6.65849925447414e-24,2.58037201467804e-12,1000000000000
4.00003397779943e-24,2e-12,1290186007339.02
6.65934831673735e-26,2.58037201467804e-13,10000000000000
6.66210936252391e-28,2.58037201467804e-14,100000000000000
7.03349443112474e-30,2.58037201467804e-15,1e+15
7.30959900978035e-32,2.58037201467804e-16,1e+16
1.58002216419243e-33,2.58037201467804e-17,1e+17
1.22464679914735e-33,1.99999999999999e-17,1.29018600733902e+17
1.58002216419243e-34,2.58037201467804e-18,1e+18
1.58002216419243e-35,2.58037201467804e-19,1e+19
1.58002216419243e-36,2.58037201467804e-20,1e+20
